ID,Stay,Culture,Xray,Region,Census
1,7.13,9,39.6,4,207
2,8.82,3.8,51.7,2,51
3,8.34,8.1,74,3,82
4,8.95,18.9,122.8,4,53
5,11.2,34.5,88.9,1,134
6,9.76,21.9,97,2,147
7,9.68,16.7,79,3,151
8,11.18,60.5,85.8,2,399
9,8.67,24.4,90.8,3,130
10,8.84,29.6,82.6,1,59
11,11.07,28.5,122,1,591
12,8.3,6.8,83.8,3,105
13,12.78,46,116.9,1,252
14,7.58,20.8,88,2,59
15,9,14.6,76.4,3,61
16,11.08,18.6,63.6,3,326
17,8.28,26,101.8,4,84
18,11.62,25.5,99.2,1,113
19,9.06,6.9,75.9,2,103
20,9.35,15.9,80.9,3,547
21,7.53,23.1,98.9,4,47
22,10.24,36.3,112.6,2,163
23,9.78,17.6,95.9,1,240
24,9.84,12,82.3,3,468
25,9.2,17.5,71.1,4,244
26,8.28,12,113.1,2,413
27,9.31,30.2,101.3,1,124
28,8.19,10.8,59.2,1,156
29,11.65,18.6,96.1,1,217
30,9.89,17.7,103.6,2,113
31,11.03,19.7,102.1,1,270
32,9.84,17.7,72.6,2,200
33,11.77,17.3,56,1,164
34,13.59,24.2,111.7,1,258
35,9.74,11.4,76.1,2,170
36,10.33,21.2,104.3,1,181
37,9.97,16.5,76.5,2,69
38,7.84,7.1,87.9,3,50
39,10.47,5.7,69.1,2,168
40,8.16,1.9,58,3,49
41,8.48,12.1,92.8,3,145
42,10.72,23.2,94.1,3,90
43,11.2,7,78.9,3,95
44,10.12,14.9,79.1,3,313
45,8.37,15.1,84.8,2,96
46,18.5,8.4,40.2,4,581
47,19.56,17.2,113.7,1,273
48,10.9,10.6,71.9,2,446
49,7.67,2.5,40.4,3,93
50,8.88,10.1,86.9,3,238
51,11.48,20.3,82,1,207
52,9.23,11.6,42.6,2,413
53,11.41,16.6,97.9,3,330
54,12.07,52.4,105.3,2,115
55,8.63,8.4,56.2,1,39
56,11.15,7.7,73.9,1,217
57,7.14,2.6,75.8,4,37
58,7.65,16.4,65.7,4,265
59,10.73,19.3,101,2,374
60,11.46,15.6,97.7,3,153
61,10.42,8,59,1,67
62,11.18,18.8,55.9,2,546
63,7.93,7.5,98.1,4,42
64,9.66,9.9,98.3,2,66
65,7.78,20.9,71.6,3,391
66,9.42,24.8,62.8,1,421
67,10.02,8.3,93,2,191
68,8.58,7.4,95.9,3,248
69,9.61,6.9,87.2,3,404
70,8.03,24.3,87.3,1,65
71,7.39,14.6,88.4,2,38
72,7.08,12.3,56.4,3,52
73,9.53,15,65.7,3,241
74,10.05,36.7,87.5,1,144
75,8.45,12.9,85,2,143
76,6.7,13,80.8,4,51
77,8.9,12.7,86.9,1,37
78,10.23,9.9,77.9,2,595
79,8.88,14.1,76.8,2,165
80,10.3,27.8,88.9,2,113
81,10.79,2.6,56.6,2,320
82,7.94,6.2,92.3,2,139
83,7.63,11.6,61.1,4,109
84,8.77,5.2,47,4,85
85,8.09,7.6,56.9,3,61
86,9.05,20.5,79.8,3,127
87,7.91,11.9,79.5,3,349
88,10.39,14,88.3,2,223
89,9.36,18.3,90.6,1,127
90,11.41,23.8,73,3,359
91,8.86,9.5,87.5,3,65
92,8.93,6.2,72.5,3,59
93,8.92,2.2,79.5,2,40
94,8.15,12.3,79.8,4,55
95,9.77,15.7,89.7,2,123
96,8.54,27,82.5,1,57
97,8.66,6.8,69.5,3,178
98,12.01,10.8,96.9,1,237
99,7.95,4.6,54.9,3,128
100,10.15,16.4,59.2,3,452
101,9.76,6.9,80.1,4,47
102,9.89,11.8,108.7,1,141
103,7.14,13.1,92.6,4,40
104,13.95,15.6,133.5,1,308
105,9.44,10.9,58.5,3,230
106,10.8,1.6,57.4,3,69
107,7.14,4.1,45.7,3,90
108,8.02,3.8,46.5,2,44
109,11.8,9.1,116.9,2,441
110,9.5,42,70.9,3,68
111,7.7,12.2,67.9,4,85
112,17.94,26.4,91.8,1,791
113,9.41,20.6,91.7,3,20
